Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Wild Wash Fire,"August 25, 2024 at 12:37 PM","August 27, 2024 at 10:20 AM",,
Tenaja Fire,"August 25, 2024 at 12:52 PM","September 10, 2024 at 2:22 PM","RVC-1798, RVC-1865, RVC-1866, RVC-1933, RVC-1933RVC, RVC-1934, RVC-1999, RVC-2074, RVC-2142, RVC-2143","RVC-1798, RVC-1865, RVC-1866, RVC-1933, RVC-1934, RVC-1999, RVC-2074, RVC-2142, RVC-2143"
Echo Fire,"August 25, 2024 at 6:39 PM","August 25, 2024 at 7:23 PM",,
Solar Fire,"August 25, 2024 at 5:31 PM","August 25, 2024 at 6:21 PM",,
Park Fire ,"August 25, 2024 at 6:45 PM","August 25, 2024 at 11:47 PM",,
Florin Fire,"August 26, 2024 at 8:54 PM","August 27, 2024 at 1:52 PM",,
Excelsior Fire,"August 26, 2024 at 9:17 PM","August 27, 2024 at 8:23 AM",,
Pioneer Fire,"August 27, 2024 at 7:08 PM","August 29, 2024 at 8:29 PM",,
Weller Fire,"August 27, 2024 at 3:50 PM","August 27, 2024 at 3:50 PM",,
Johnson Fire,"August 27, 2024 at 7:03 PM","August 28, 2024 at 7:43 PM",,
Keys Fire,"August 28, 2024 at 2:50 PM","August 30, 2024 at 8:32 AM",,SDC-0293
Gulch Fire,"August 28, 2024 at 5:17 PM","August 30, 2024 at 7:11 AM",,
Silver Fire,"August 28, 2024 at 5:52 PM","August 31, 2024 at 8:46 AM",,
Way Fire,"August 29, 2024 at 12:56 PM","September 2, 2024 at 5:31 PM",,
Two Fire,"August 29, 2024 at 4:16 PM","August 30, 2024 at 9:47 PM",,
Vasco Fire,"August 29, 2024 at 8:16 PM","August 31, 2024 at 9:21 AM",,
High Fire,"August 31, 2024 at 3:48 PM","September 1, 2024 at 8:00 AM",,
Minton Fire,"August 31, 2024 at 4:57 PM","September 2, 2024 at 5:14 PM",,
Bichota Fire,"August 31, 2024 at 5:51 PM","September 6, 2024 at 6:13 PM",,
Union Fire,"September 1, 2024 at 7:49 AM","September 1, 2024 at 7:49 AM",,
Armstrong Fire,"September 1, 2024 at 1:03 AM","September 4, 2024 at 8:56 AM",,
Robert Fire,"September 1, 2024 at 1:36 PM","September 3, 2024 at 3:25 PM",,
Record Fire,"September 1, 2024 at 3:12 PM","September 4, 2024 at 11:11 AM",,
Argyle Fire,"September 2, 2024 at 7:27 AM","September 4, 2024 at 3:54 PM",,
Bear Fire,"September 2, 2024 at 5:06 PM","September 16, 2024 at 5:11 PM","ASIE-E058, BSIE-E031SIE, BSIE-E059SIE, CSIE-E032, DSIE-E032, ESIE-E058SIE, SIE-E022, SIE-E022SIE, SIE-E023, SIE-E027, SIE-E028, SIE-E029, SIE-E030, SIE-E030SIE, SIE-E031, SIE-E031A, SIE-E031B, SIE-E031SIE, SIE-E032, SIE-E058, SIE-E059","SIE-E022, SIE-E022SIE, SIE-E023, SIE-E027, SIE-E028, SIE-E029"
Centerville Fire,"September 2, 2024 at 5:17 PM","September 3, 2024 at 8:37 PM",,
Gabriel Fire,"September 2, 2024 at 5:06 PM","September 4, 2024 at 8:32 AM",,
Hwy 152 E/ Rd 13 Fire,"September 2, 2024 at 7:11 PM","September 2, 2024 at 7:38 PM",,
Hawk Fire,"September 3, 2024 at 1:02 PM","September 4, 2024 at 8:57 AM",,
Boone Fire,"September 3, 2024 at 12:56 PM","September 14, 2024 at 7:55 AM",,
Backus Fire,"September 3, 2024 at 3:25 PM","September 6, 2024 at 6:13 PM",,
Chapman Fire,"September 4, 2024 at 2:04 PM","September 5, 2024 at 11:39 PM",,
Post Fire,"September 4, 2024 at 4:46 PM","September 5, 2024 at 7:13 PM","LSN-1407, LSN-1407RVC, RVC-1170, RVC-1170RVC, RVC-1171, RVC-1172, RVC-1173, RVC-1174, RVC-1272, RVC-1273, RVC-1408","LSN-1407, LSN-1407RVC, RVC-1170, RVC-1170RVC, RVC-1171, RVC-1172, RVC-1173, RVC-1174, RVC-1272, RVC-1273, RVC-1408"
Midway Rd Fire,"September 5, 2024 at 5:14 PM","September 6, 2024 at 2:20 PM",,
Dorado Fire,"September 5, 2024 at 5:52 PM","September 6, 2024 at 8:21 PM",,
Line Fire,"September 5, 2024 at 6:35 PM","October 31, 2024 at 9:05 AM","SR-330, SR-38","SR-330, SR-38"
Pine Fire,"September 6, 2024 at 7:18 PM","September 10, 2024 at 10:45 AM",,
Cove Fire,"September 6, 2024 at 4:47 PM","September 7, 2024 at 5:12 PM",,
Canary Fire,"September 6, 2024 at 5:09 PM","September 7, 2024 at 12:34 PM",,
Church 2 Fire,"September 7, 2024 at 12:30 PM","September 8, 2024 at 5:05 PM","SDC-2326, SDC-2326SDC, SDC-2327","SDC-2326, SDC-2326SDC, SDC-2327"
Roblar Fire ,"September 7, 2024 at 3:06 PM","September 10, 2024 at 10:07 AM",,
Mill Creek 4 Fire,"September 7, 2024 at 8:24 PM","September 15, 2024 at 12:20 PM",,
Cotton Fire,"September 7, 2024 at 11:45 PM","September 8, 2024 at 4:58 AM",,
Boyles Fire,"September 8, 2024 at 2:47 PM","September 11, 2024 at 5:54 PM","ACLE-E157, ACLE-E157CLE, BCLE-E, BCLE-E157, CLE-E, CLE-E148, CLE-E148CLE, CLE-E157","BCLE-E, BCLE-E157, CLE-E, CLE-E148, CLE-E157"
Bridge Fire,"September 8, 2024 at 4:26 PM","October 28, 2024 at 8:25 AM","ALAC-E100, ALAC-E101LAC, ALAC-E106LAC, ALAC-E126, ALAC-E170, ALAC-E172, ASDM-E003, BLAC-E105, BLAC-E125LAC, BLAC-E126, BLAC-E172, BLD01, CLA-E003, CLA-E006, CLAC-E127LAC, CLAC-E171LAC, DFR-6, DLVN-E001LVN, LAC-106, LAC-106A, LAC-107, LAC-128, LAC-E, LAC-E100, LAC-E101, LAC-E102, LAC-E103, LAC-E104, LAC-E104LAC, LAC-E105, LAC-E105A, LAC-E105B, LAC-E106, LAC-E107, LAC-E125, LAC-E126, LAC-E127, LAC-E128, LAC-E142, LAC-E142B, LAC-E143, LAC-E144, LAC-E169, LAC-E169LAC, LAC-E170, LAC-E171, LAC-E172, LAC-E502, LAC-Q1339, LAC-Q1340, LAC-Q1377, LVN-002, LVN-E001, PIN00, PIN01, PIN02, PIN03, SDM-E003, SR-138, SR-2, WWD01, WWD02, WWD03","ALAC-E100, ALAC-E101LAC, ALAC-E170, ASDM-E003, BLAC-E125LAC, BLAC-E172, BLD01, CLA-E003, CLA-E006, DFR-6, DLVN-E001LVN, LAC-106, LAC-106A, LAC-E100, LAC-E101, LAC-E102, LAC-E103, LAC-E104, LAC-E105, LAC-E105A, LAC-E105B, LAC-E106, LAC-E107, LAC-E125, LAC-E126, LAC-E127, LAC-E142, LAC-E142B, LAC-E169, LAC-E169LAC, LAC-E170, LAC-E172, LAC-E502, LAC-Q1339, LAC-Q1340, LAC-Q1377, LVN-002, LVN-E001, PIN00, PIN01, PIN02, SDM-E003, SR-138, SR-2, WWD01, WWD02, WWD03"
Crozier Fire,"September 11, 2024 at 3:59 PM","September 11, 2024 at 3:59 PM",,
Rice 2 Fire,"September 9, 2024 at 10:39 AM","September 9, 2024 at 6:05 PM",,
Wicklow Fire,"September 9, 2024 at 2:39 PM","September 11, 2024 at 10:06 AM",,
Airport Fire,"September 9, 2024 at 2:53 PM","October 6, 2024 at 8:03 AM","LAC-E107, LSN-1524, LSN-1525, LSN-1526, LSN-1623, LSN-1624, LSN-1625, LSN-1626, LSN-1627, LSN-1799, LSN-1803, RVC-1050, RVC-1052, RVC-1153, RVC-1154, RVC-1155, RVC-1156, RVC-1157, RVC-1158, RVC-1159, RVC-1160, RVC-1161, RVC-1259, RVC-1260, RVC-1261, RVC-1262, RVC-1263, RVC-1265, RVC-1266, RVC-1267, RVC-1269, RVC-1395, RVC-1396, RVC-1397, RVC-1398, RVC-1399, RVC-1400, RVC-1401, RVC-1402, RVC-1404, RVC-1405, RVC-1521, RVC-1522, RVC-1523, RVC-1622, RVC-1724, RVC-1725, RVC-1726, RVC-1728, RVC-1729, RVC-1798, RVC-1800, RVC-1800RVC, RVC-1801, RVC-1802, RVC-1804, RVC-1806, RVC-1807, RVC-1808, RVC-1809, RVC-1810, RVC-1865, RVC-1866, RVC-1867, RVC-1868, RVC-1869, RVC-1870, RVC-1933, RVC-1934, RVC-1935, RVC-1936, RVC-1999, RVC-2000, RVC-2074, RVC-2075, RVC-2076, RVC-2077, RVC-2142, RVC-2143, RVC-2144, RVC-2145, RVC-2146, RVC-2147, RVC-2197, RVC-2243, RVC-2244, RVC-2245, VC-2000","LAC-E107, LSN-1524, LSN-1525, LSN-1526, LSN-1623, LSN-1624, LSN-1625, LSN-1626, LSN-1627, LSN-1799, LSN-1803, RVC-1050, RVC-1052, RVC-1153, RVC-1154, RVC-1155, RVC-1156, RVC-1157, RVC-1158, RVC-1159, RVC-1160, RVC-1161, RVC-1259, RVC-1260, RVC-1261, RVC-1262, RVC-1263, RVC-1265, RVC-1266, RVC-1267, RVC-1269, RVC-1395, RVC-1396, RVC-1397, RVC-1398, RVC-1399, RVC-1400, RVC-1401, RVC-1402, RVC-1404, RVC-1405, RVC-1521, RVC-1522, RVC-1523, RVC-1622, RVC-1724, RVC-1725, RVC-1726, RVC-1728, RVC-1729, RVC-1798, RVC-1800, RVC-1800RVC, RVC-1801, RVC-1802, RVC-1804, RVC-1806, RVC-1807, RVC-1808, RVC-1809, RVC-1810, RVC-1865, RVC-1866, RVC-1867, RVC-1868, RVC-1869, RVC-1870, RVC-1933, RVC-1934, RVC-1935, RVC-1936, RVC-1999, RVC-2074, RVC-2076, RVC-2077, RVC-2142, RVC-2143, RVC-2145, RVC-2146, RVC-2147, RVC-2244, RVC-2245"
Sunset Fire,"September 9, 2024 at 4:11 PM","September 9, 2024 at 9:14 PM",,
Train Fire,"September 9, 2024 at 4:10 PM","September 15, 2024 at 12:20 PM",,
Apollo Fire,"September 10, 2024 at 1:35 PM","September 10, 2024 at 2:18 PM","LSN-1524, LSN-1525, LSN-1526, LSN-1623, LSN-1624, LSN-1625, LSN-1626, LSN-1627, LSN-1799, LSN-1803, RVC-1153, RVC-1265, RVC-1267, RVC-1269, RVC-1395, RVC-1396, RVC-1397, RVC-1398, RVC-1399, RVC-1400, RVC-1401, RVC-1402, RVC-1404, RVC-1405, RVC-1521, RVC-1522, RVC-1523, RVC-1622, RVC-1724, RVC-1725, RVC-1726, RVC-1728, RVC-1729, RVC-1798, RVC-1800, RVC-1801, RVC-1802, RVC-1804, RVC-1806, RVC-1807, RVC-1808, RVC-1809, RVC-1810, RVC-1865, RVC-1866, RVC-1867, RVC-1868, RVC-1869, RVC-1870, RVC-1933, RVC-1934, RVC-1935, RVC-1936, RVC-1999, RVC-2074, RVC-2142, RVC-2143","LSN-1524, LSN-1525, LSN-1526, LSN-1623, LSN-1624, LSN-1625, LSN-1626, LSN-1627, LSN-1799, LSN-1803, RVC-1153, RVC-1265, RVC-1267, RVC-1269, RVC-1395, RVC-1396, RVC-1397, RVC-1398, RVC-1399, RVC-1400, RVC-1401, RVC-1402, RVC-1404, RVC-1405, RVC-1521, RVC-1522, RVC-1523, RVC-1622, RVC-1724, RVC-1726, RVC-1728, RVC-1729, RVC-1800, RVC-1801, RVC-1802, RVC-1804, RVC-1806, RVC-1807, RVC-1808, RVC-1809, RVC-1810, RVC-1867, RVC-1868, RVC-1869, RVC-1870, RVC-1936"
Coyote Fire,"September 10, 2024 at 4:38 PM","September 15, 2024 at 9:25 AM",,
Kelso Fire,"September 10, 2024 at 7:17 PM","September 12, 2024 at 3:53 PM",,
Willow Fire,"September 11, 2024 at 2:10 PM","September 15, 2024 at 12:20 PM",,
Joshua Fire,"September 11, 2024 at 4:25 PM","September 15, 2024 at 9:25 AM",,
Alpaugh Fire,"September 11, 2024 at 5:53 PM","September 15, 2024 at 9:25 AM",,
Quincy Fire,"September 12, 2024 at 1:15 PM","September 17, 2024 at 12:31 PM",,"BUT-FORB, BUT-OSE, FORB-686BUT, OSE-831"
Bell Fire,"September 14, 2024 at 6:05 PM","September 15, 2024 at 6:55 PM",,
Cougar Fire,"September 15, 2024 at 2:15 PM","September 16, 2024 at 9:25 AM",,
Ripple Fire,"September 15, 2024 at 4:41 PM","September 15, 2024 at 7:34 PM",,
Rosa Fire,"September 16, 2024 at 8:33 PM","September 16, 2024 at 8:33 PM",,
Executive Fire,"September 17, 2024 at 1:06 PM","September 18, 2024 at 8:31 AM",,
Phelps Fire,"September 19, 2024 at 11:33 PM","September 20, 2024 at 7:50 AM",,
Antonio Fire,"September 23, 2024 at 1:48 PM","September 24, 2024 at 7:34 PM",,
Plymire Fire,"September 26, 2024 at 2:13 PM","September 27, 2024 at 11:34 AM",,
Meiss Fire,"September 27, 2024 at 3:12 PM","September 30, 2024 at 8:25 AM",,
Pinnacles Fire,"September 27, 2024 at 6:06 PM","October 3, 2024 at 9:36 AM",,
86 Fire,"September 27, 2024 at 7:35 PM","September 28, 2024 at 5:10 PM",,
Chase Fire ,"September 27, 2024 at 9:16 PM","September 29, 2024 at 6:54 PM",,
Cindy Fire ,"September 28, 2024 at 6:16 PM","September 29, 2024 at 6:54 PM",,
Ridge Fire,"September 29, 2024 at 8:59 AM","October 2, 2024 at 12:44 PM",,
Soda Fire,"September 30, 2024 at 2:11 PM","September 30, 2024 at 4:32 PM",,
Tiger Fire,"September 30, 2024 at 4:37 PM","October 2, 2024 at 12:44 PM",,
Lago Fire,"October 2, 2024 at 5:37 AM","October 7, 2024 at 3:50 PM",,
Peak Fire,"October 2, 2024 at 4:00 PM","October 14, 2024 at 8:05 PM",,
Bear Fire,"October 2, 2024 at 4:02 PM","October 13, 2024 at 8:47 AM",,
Felicia Fire,"October 3, 2024 at 2:37 PM","October 7, 2024 at 9:48 PM",,
Ranch Fire,"October 3, 2024 at 7:19 PM","October 4, 2024 at 7:36 AM",,
Glenhaven Fire,"October 4, 2024 at 12:34 PM","October 9, 2024 at 12:02 PM","CLO-E0102, CLO-E0106, CLO-E0107, CLO-E057, CLO-E057CLO, CLO-E073, CLO-E073CLO, CLO-E073GLE, CLO-E079, CLO-E082, CLO-E098, CLO-E098CLO, CLO-E098GLE, CLO-E099, CLO-E102, GLE-E072, GLE-E094","AGLE-E094, BCLO-E073CLO, BCLO-E098CLO, CLO-E0106, CLO-E057, CLO-E057CLO, CLO-E073, CLO-E073CLO, CLO-E073GLE, CLO-E079, CLO-E082, CLO-E098, CLO-E099, CLO-E102, CLO-E106, GLE-E072, GLE-E072GLE, GLE-E094"
Ruby Fire,"October 4, 2024 at 5:10 PM","October 5, 2024 at 11:06 AM",,
Central 2 Fire,"October 4, 2024 at 9:14 PM","October 4, 2024 at 9:42 PM",,
Wolf Fire,"October 4, 2024 at 11:26 PM","October 5, 2024 at 12:08 AM",,
Dutch Fire,"October 5, 2024 at 5:06 PM","October 11, 2024 at 9:58 PM",NCO-E220,NCO-E220
Two Mile Fire,"October 6, 2024 at 7:57 AM","October 6, 2024 at 10:11 AM",,
Tuledad Fire,"October 6, 2024 at 2:51 PM","October 6, 2024 at 7:06 PM",,
Hambone Fire,"October 6, 2024 at 4:26 PM","October 14, 2024 at 9:26 AM",,
Verjeles Fire,"October 6, 2024 at 4:58 PM","October 7, 2024 at 9:48 PM",,
Wood Fire,"October 6, 2024 at 9:38 PM","October 9, 2024 at 6:27 PM",,
Posta 3 Fire,"October 7, 2024 at 3:05 PM","October 9, 2024 at 8:33 AM","BSDC-2240SDC, SDC-2114, SDC-2114SDC, SDC-2169, SDC-2170, SDC-2170SDC, SDC-2171, SDC-2172, SDC-2173, SDC-2240, SDC-2325, SDC-2326, SDC-2327, SDC-2328, SDC-2329","ASDC-2328, BSDC-2240SDC, SDC-2114, SDC-2114SDC, SDC-2169, SDC-2170, SDC-2170SDC, SDC-2171, SDC-2172, SDC-2173, SDC-2240, SDC-2325, SDC-2326, SDC-2327, SDC-2328, SDC-2329"
Cemetery Fire,"October 8, 2024 at 3:25 PM","October 11, 2024 at 9:58 PM",,
Piney Fire ,"October 8, 2024 at 4:16 PM","October 14, 2024 at 6:46 PM","BMRY-D076, MRY-D074, MRY-D076","AMRY-D076, AMRY-D083, BMRY-D076, MRY-D074, MRY-D076, MRY-D083"
Bahrman Fire,"October 9, 2024 at 2:36 PM","October 10, 2024 at 11:10 AM",,
Shoe Fire,"October 9, 2024 at 2:40 PM","November 8, 2024 at 10:28 AM",LKH-1448,LKH-1448
Miles Fire,"October 11, 2024 at 2:07 PM","October 12, 2024 at 9:11 AM",,
Marvin Fire,"October 13, 2024 at 3:37 PM","October 14, 2024 at 7:28 AM",,
Jack Fire,"October 13, 2024 at 5:32 PM","October 16, 2024 at 6:59 AM",,
Canyon Fire,"October 15, 2024 at 12:45 PM","October 16, 2024 at 6:52 AM",,
Snake Fire,"October 17, 2024 at 5:15 PM","October 22, 2024 at 12:53 PM",,
Maria Fire,"October 17, 2024 at 5:15 PM","October 17, 2024 at 9:10 PM",,
Hay Fire,"October 18, 2024 at 1:06 PM","October 22, 2024 at 7:11 AM","OKL-E176, OKL-E176OKL, OKL-E203",
Keller Fire,"October 18, 2024 at 2:27 PM","October 22, 2024 at 12:55 PM","OKL-E176, OKL-E176OKL, OKL-E177, OKL-E177OKL, OKL-E178, OKL-E178OKL, OKL-E179, OKL-E203, OKL-E204","OKL-E177, OKL-E177OKL, OKL-E178, OKL-E178OKL, OKL-E179"
Mission Fire,"October 18, 2024 at 5:56 PM","October 19, 2024 at 6:40 PM",,
Lost Fire,"October 19, 2024 at 3:24 AM","October 19, 2024 at 6:44 PM",,
Gilardi Fire,"October 19, 2024 at 12:57 PM","October 19, 2024 at 6:44 PM",,
162 Fire,"October 19, 2024 at 1:06 PM","October 19, 2024 at 6:33 PM",,
Dove Fire,"October 19, 2024 at 2:40 PM","October 25, 2024 at 10:03 PM",,
Pedley Fire,"October 19, 2024 at 3:15 PM","October 19, 2024 at 9:50 PM",,
Iowa Fire,"October 22, 2024 at 7:39 AM","October 22, 2024 at 1:26 PM",,
Coalinga Fire,"October 24, 2024 at 9:19 AM","October 29, 2024 at 2:14 PM",,
Golden Fire,"October 24, 2024 at 1:11 PM","October 25, 2024 at 5:37 PM","RVC-2321, RVC-2321RVC, RVC-2366, RVC-2366RVC, RVC-2367, RVC-2386","RVC-2321, RVC-2321RVC, RVC-2366, RVC-2366RVC, RVC-2367, RVC-2386"
Riverview Fire,"October 24, 2024 at 5:47 PM","October 26, 2024 at 7:34 AM",,
Lost Fire,"October 26, 2024 at 2:43 PM","October 26, 2024 at 7:51 PM",,
Alray Fire,"October 26, 2024 at 7:51 PM","October 27, 2024 at 8:32 AM",,
Campbell Fire,"October 28, 2024 at 6:54 AM","October 30, 2024 at 8:34 PM",,
Hog Fire,"October 30, 2024 at 2:45 PM","October 30, 2024 at 2:46 PM",,
Quarry Fire,"October 31, 2024 at 1:33 PM","October 31, 2024 at 2:22 PM",SDC-2215,
Montezuma Fire,"October 31, 2024 at 2:29 PM","November 4, 2024 at 2:44 PM",,
Gaylord Fire,"November 3, 2024 at 4:33 PM","November 5, 2024 at 7:22 AM",,
Wolf Fire,"November 4, 2024 at 5:04 PM","November 8, 2024 at 5:27 PM",,
Lake Fire,"November 6, 2024 at 11:09 AM","November 7, 2024 at 3:16 PM",,
Mountain Fire,"November 6, 2024 at 9:45 AM","November 27, 2024 at 10:13 PM",CA-118,CA-118
Broad Fire,"November 6, 2024 at 10:18 AM","November 8, 2024 at 9:06 AM",,
Valley Fire,"November 6, 2024 at 11:37 AM","November 8, 2024 at 8:15 AM",HAP-7730,HAP-7730
Lemon Fire,"November 6, 2024 at 2:21 PM","November 6, 2024 at 3:50 PM",,
Horseshoe Fire,"November 7, 2024 at 1:59 AM","December 2, 2024 at 11:06 AM","ICU-193, ICU-193ICU, ICU-195, ICU-195ICU, ICU-197, ICU-207, ICU-211, ICU-223","ICU-193, ICU-193ICU, ICU-195, ICU-195ICU, ICU-197, ICU-207, ICU-211"
Frenchman Fire,"November 7, 2024 at 12:44 PM","November 10, 2024 at 9:04 AM",,
Santa Lucia Fire,"November 7, 2024 at 12:56 PM","November 11, 2024 at 11:37 AM",,
Garden Fire,"November 8, 2024 at 1:33 PM","November 9, 2024 at 5:16 PM","SDC-0145, SDC-0191, SDC-0192, SDC-0192SDC, SDC-0193, SDC-0194, SDC-0195, SDC-0195SDC, SDC-0232, SDC-0234","SDC-0145, SDC-0191, SDC-0194, SDC-0195, SDC-0195SDC, SDC-0232"
Resort 2 Fire,"November 8, 2024 at 4:47 PM","November 9, 2024 at 5:16 PM",,
Waucoba Fire,"November 11, 2024 at 1:56 PM","November 11, 2024 at 1:56 PM",,
Bull Fire,"November 12, 2024 at 4:31 PM","November 13, 2024 at 6:02 AM",,
Eternal Fire,"November 13, 2024 at 3:14 PM","November 13, 2024 at 5:55 PM",,
John Fire,"November 15, 2024 at 6:59 AM","November 15, 2024 at 8:37 AM",,
Kamm Fire,"November 17, 2024 at 6:58 AM","November 17, 2024 at 8:48 AM",,
Sandy Fire,"November 17, 2024 at 2:51 PM","November 18, 2024 at 11:07 PM",,
Brauns Fire,"November 20, 2024 at 2:11 PM","November 21, 2024 at 4:32 PM",,
Millar Fire,"November 20, 2024 at 2:51 PM","November 26, 2024 at 8:09 AM","SDC-2217, SDC-2218",SDC-2218
Duck Fire,"November 21, 2024 at 11:42 AM","November 22, 2024 at 8:13 PM",,
Michigan Fire,"November 21, 2024 at 3:26 PM","November 22, 2024 at 1:41 PM",,
Broadway Fire,"November 21, 2024 at 5:44 PM","November 22, 2024 at 7:53 PM",,
Canal Fire,"November 22, 2024 at 1:38 PM","November 22, 2024 at 8:12 PM",,
Border 77 Fire,"November 23, 2024 at 3:26 PM","November 24, 2024 at 7:40 PM",,
Canyon Crest Fire,"November 28, 2024 at 8:19 PM","December 1, 2024 at 11:08 AM",,"JUR-0015, JUR-0016, JUR-0017, JUR-0031"
