incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_created,incident_dateonly_extinguished,incident_location,incident_acres_burned,incident_url,is_active
09e1c7bf-e40b-4843-b245-917cb162130b,Flynn Fire,-121.6065,37.7356,Alameda,2023-07-30T07:17:41Z,2023-07-29,2023-07-30,"I-580 and North Flynn Road, Altamont ",80,https://www.fire.ca.gov/incidents/2023/7/29/flynn-fire/,N
6550e4e3-ef7f-4ebd-87ca-4a4244fdffd2,Shell Fire,-120.334625,35.458459,San Luis Obispo,2023-08-02T20:28:11Z,2023-07-30,2023-08-02,"Shell Creek and HWY 58, east of Creston",100,https://www.fire.ca.gov/incidents/2023/7/30/shell-fire/,N
44335201-1bda-408e-8bed-ec84b650c770,York Fire,-115.317389,35.191889,San Bernardino,2023-12-05T14:27:05Z,2023-08-01,2023-08-19,"New York Mountains, San Bernardino County, and Clark County",93078,https://www.fire.ca.gov/incidents/2023/8/1/york-fire/,N
1df129dd-265c-450d-a605-b46d82ca0436,Haberkern Fire,-119.988888,36.7611111,Kern,2023-08-02T20:26:29Z,2023-08-01,2023-08-02," Lebec, South of Bakersfield",35,https://www.fire.ca.gov/incidents/2023/8/1/haberkern-fire/,N
5b23e547-15ae-4b24-a9dd-6d8a8298c0cd,Beale Fire,-120.181725,35.403564,Kern,2023-08-09T09:02:14Z,2023-08-01,,"Hart Flat, West of Tehachapi",61,https://www.fire.ca.gov/incidents/2023/8/1/beale-fire/,N
55585f3b-648c-476d-bccb-e2939fd1a670,Nuevo Fire,-117.11938,33.7995,Riverside,2023-08-02T09:37:11Z,2023-08-01,,"31120 Nuevo Road, Juniper Hills",20,https://www.fire.ca.gov/incidents/2023/8/1/nuevo-fire/,N
e9755bce-f853-4b18-82b7-cdf0921d62a5,RV Fire,-120.8839,36.9648,Merced,2023-08-02T08:26:54Z,2023-08-01,,Interstate 5 near Arburua Rd,29,https://www.fire.ca.gov/incidents/2023/8/1/rv-fire/,N
e595da7d-9cd4-48a3-9b11-5363cfd066e1,Almond Fire,-116.76111,33.91436,Riverside,2023-08-04T11:05:15Z,2023-08-02,2023-08-02,"Bonita Avenue and Poplar Street, Cabazon",95,https://www.fire.ca.gov/incidents/2023/8/2/almond-fire/,N
08b36383-406f-49a5-bf71-0c629c3c0010,Stanley Fire,-116.84334,33.602019,Riverside,2023-08-04T11:01:01Z,2023-08-02,,"Stanley Road & Red Mountain Road, Hemet",16,https://www.fire.ca.gov/incidents/2023/8/2/stanley-fire/,N
b76fe4cb-c4c1-423a-a62c-49a9686033c3,Clayton Fire,-121.464716,37.368648,Santa Clara,2023-08-09T15:06:27Z,2023-08-03,,"Clayton Road and Via De La Vista, East San Jose",68,https://www.fire.ca.gov/incidents/2023/8/3/clayton-fire/,N
3178236b-9195-40af-93c6-34e7d13f405a,Tecuya Fire,-118.997325,34.847129,Kern,2023-08-11T14:07:01Z,2023-08-02,2023-08-07,"North of Frazier Park, Tecuya Mountain",,https://www.fire.ca.gov/incidents/2023/8/2/tecuya-fire/,N
8ae10edc-77d0-4df3-a398-846bea7acac0,Ridge Fire,-122.624538,40.735974,Shasta,2023-08-09T08:35:39Z,2023-08-04,2023-08-06,"15000 block of Fawn Ridge Drive, French Gulch, Ca",28,https://www.fire.ca.gov/incidents/2023/8/4/ridge-fire/,N
c19ca405-6810-4097-b078-13fa9a7a6119,Boulevard Fire,-118.2951023,35.0990626,Kern,2023-08-06T07:01:40Z,2023-08-04,2023-08-06,"Cameron Canyon Road & Hwy 58, Cameron",88,https://www.fire.ca.gov/incidents/2023/8/4/boulevard-fire/,N
128eaf5b-0947-44d0-9df9-fd7975d0fe9d,No Name Fire,-117.8875,35.78611,Kern,2023-12-05T14:27:31Z,2023-08-05,2023-08-19,"Sand Canyon Rd , southwest of Pearsonville",1120,https://www.fire.ca.gov/incidents/2023/8/5/no-name-fire/,N
9f0e025e-d6d3-482c-81e4-d3e0f50c9e41,Pass ,-116.3017,32.68535,San Diego,2023-08-08T08:46:11Z,2023-08-06,,"Boulevard, CA",36,https://www.fire.ca.gov/incidents/2023/8/6/pass/,N
bdbc6903-5fea-4b29-9ddf-874bfd7174c8,Bunnie Fire,-116.855731,32.994676,San Diego,2023-08-11T17:09:19Z,2023-08-09,2023-08-11,"San Vicente Road and Chuck Wagon Road, Ramona",184,https://www.fire.ca.gov/incidents/2023/8/9/bunnie-fire/,N
4769737e-f0b5-48c0-9b39-90db40414a7d,Cemetery Fire,-121.68793,39.377918,Butte,2023-08-10T15:06:45Z,2023-08-09,2023-08-09,Highway 99 and Deniz Bros Lane near Gridley in Butte County,68,https://www.fire.ca.gov/incidents/2023/8/9/cemetery-fire/,N
954a9ca6-3863-4a6f-b22f-fc6bb6fcef6c,Dry Creek Complex,-119.0113,36.5323,Tulare,2023-12-05T14:18:19Z,2023-08-10,2023-08-10,"Dry Creek Road and Mile Marker 4, northeast of Woodlake in Tulare County",301,https://www.fire.ca.gov/incidents/2023/8/10/dry-creek-complex/,N
21d01f9d-fc51-4a0a-88ca-06f934ea2cae,Hernandez Fire,-120.9783812,36.4392121,San Benito,2023-08-11T20:21:24Z,2023-08-10,2023-08-11,Hernandez road and San Benito lateral Northeast of King City,75,https://www.fire.ca.gov/incidents/2023/8/10/hernandez-fire/,N
f739b56d-fda4-4689-9ced-2fd015afe169,Rinconada Fire,-120.0175,35.0832,San Luis Obispo,2023-08-12T19:06:02Z,2023-08-11,2023-08-12,"Hwy 166 west of Chimineas Ranch Road, West of Cuyama ",,https://www.fire.ca.gov/incidents/2023/8/11/rinconada-fire/,N
2b5b710e-acec-4818-9d26-22062a75d793,Trotter,-118.6027987,35.1387962,Kern,2023-08-16T17:56:16Z,2023-08-14,2023-08-16,"Trotter Dr and Skyline Drive, West of Tehachapi ",52,https://www.fire.ca.gov/incidents/2023/8/14/trotter/,N
