objectid,zone_id,label,globalid,shape_Length,shape_Area
2458,US-CA-XSD-SDC-2178,SDC-2178,{399EBD37-454E-4D81-9D20-3C9973FE7451},64857.467570111533860,197780973.405283719301224
2459,US-CA-XSD-SDC-0352,SDC-0352,{444353F0-AD6D-4E3D-AFC9-1D4BBC875652},20281.831396612578828,22963377.351478695869446
2460,US-CA-XSD-SDC-1013,SDC-1013,{2027CC31-7339-4537-9A15-F358867CF145},16343.169171236730108,8402528.784365780651569
2461,US-CA-XSD-SDC-0729,SDC-0729,{1403EB22-E716-4569-886B-58CC1816DCA7},10517.174751009524698,5247138.247476238757372
2462,US-CA-XSD-SDC-2505,SDC-2505,{EA098DCB-CCE2-4BAF-A04E-7FE5BD94E32C},10493.985508980989835,6861378.943632339127362
2463,US-CA-XSD-SDC-0397,SDC-0397,{F69A5D6F-E82B-4AC6-B4FC-BB517106A7EC},19586.787292711236660,22370254.267047818750143
2464,US-CA-XSD-SDC-2578,SDC-2578,{537C0799-82BE-438E-A0B4-ADB5A7AD5022},7810.969318033382478,3422271.819024857133627
2465,US-CA-XSD-SDC-1575,SDC-1575,{66FCA567-13C8-4A03-AEE9-AFB3ECEB87AE},51577.171436618365988,99164305.959485858678818
2466,US-CA-XSD-SDC-2597,SDC-2597,{8ADD08CD-4BB9-4682-B0D0-1B391253FDC1},44442.397623260520049,74471707.074846550822258
2467,US-CA-XSD-SDC-2029,SDC-2029,{A8C036ED-FF84-4C70-A5B8-C9DF6F84180D},36615.146135029834113,55410133.916801609098911
2468,US-CA-XSD-SDC-0678,SDC-0678,{EE2E197D-15C2-48FB-A548-804BCB9C023F},42239.393479515099898,64589567.466044351458549
2469,US-CA-XSD-SDC-1985,SDC-1985,{C1404D5F-D056-40FE-A440-E442724DF7F3},11288.790552338268753,6027873.601710918359458
2470,US-CA-XSD-SDC-0718,SDC-0718,{1FDD5579-A9BA-422C-8408-46A405B34557},19515.684116042852111,18643247.827954649925232
2471,US-CA-XSD-SDC-0683,SDC-0683,{C288E981-C2A1-48B0-BF0E-85025EDEA765},58081.440479346994834,143639506.086242437362671
2472,US-CA-XSD-SDC-0308,SDC-0308,{CD4F5290-E62E-42FA-A809-FE61C5A6374A},36042.755853088878212,38194711.035127177834511
2473,US-CA-XSD-SDC-2516,SDC-2516,{1F43B0BB-D0C0-49C3-909C-C7B9E9CEF5AA},14941.640209680570479,11797979.134939992800355
2474,US-CA-XSD-SDC-1565,SDC-1565,{53DB4099-F1EC-465A-B526-C88BDF78685C},42104.745254129840760,77544102.906174749135971
2475,US-CA-XSD-SDC-1123,SDC-1123,{EF701617-A0F9-4565-9F8C-44DA19A4F883},13519.580553469337246,10041303.252225410193205
2476,US-CA-XSD-SDC-1950,SDC-1950,{64AC34A1-E12B-41DC-AC76-D0B8A272C0AF},43349.441923726371897,41528612.178431674838066
2477,US-CA-XSD-SDC-2374,SDC-2374,{14C3DADA-5EEE-423F-98CA-E9274E89CD12},17556.711406724840344,16642668.553584082052112
2478,US-CA-XSD-SDC-1159,SDC-1159,{4FD7C30C-C561-49C2-B88E-12E850DA3888},12123.492854300995532,5457184.303303128108382
2479,US-CA-XSD-SDC-2108,SDC-2108,{FA388382-A42C-4E46-99FA-88BF5C4D4521},40478.810924231715035,65954759.224127709865570
2480,US-CA-XSD-SDC-1140,SDC-1140,{464765CB-5DEB-46AF-A09C-4DD330BCE971},6584.661988198229665,2642879.958916541188955
2481,US-CA-XSD-SDC-2540,SDC-2540,{84111D13-4158-4F1C-A755-08306F6873D9},11609.920700140408371,7978347.592022181488574
2482,US-CA-XSD-SDC-1101,SDC-1101,{E8B47607-079C-4DC7-B630-CEBE34C6E89F},22983.675715610486805,16067568.683653598651290
2483,US-CA-XSD-SDC-1658,SDC-1658,{B77604B0-A516-4DDA-976E-EE3383204368},18344.909689858730417,19214635.468578211963177
2484,US-CA-XSD-SDC-0690,SDC-0690,{F10C8BC3-9262-4A66-B3C6-B75638D9ECD4},13166.111167006445612,9689817.234524108469486
2485,US-CA-XSD-SDC-0720,SDC-0720,{AE37DC64-E133-4A96-A2E4-17E3367AE83D},22594.557310153097205,24573100.511529967188835
2486,US-CA-XSD-SDC-2473,SDC-2473,{2BB225B9-FAB0-4A90-BAC4-2A04C721BB56},33742.585651646280894,50916968.601751074194908
2487,US-CA-XSD-SDC-0225,SDC-0225,{169A6F06-88E7-4A6E-AC2E-1C2CCD95132A},102110.995669729643851,265672303.573636353015900
2488,US-CA-XSD-SDC-2015,SDC-2015,{DD2617AC-DCB5-4F25-8EEA-1FDE2DE6C639},18090.063337365791085,17859644.960264414548874
2489,US-CA-XSD-SDC-0702,SDC-0702,{8B5E042B-4299-4690-B33A-2DAD12B84859},6657.767111440507506,2663042.334065347909927
2490,US-CA-XSD-SDC-1846,SDC-1846,{3ABDAE70-3FA2-4F25-9D90-BBA7655F1FBB},22354.155975796573330,24006745.101971771568060
2491,US-CA-XSD-SDC-0406,SDC-0406,{46A00615-1623-4B99-9658-5C2795DB5AC7},20965.993576869866956,12190238.337652755901217
2492,US-CA-XSD-SDC-2191,SDC-2191,{7CF6BFA0-C2E7-4E64-A544-E7A21B113548},13797.286872167556794,10774380.009471895173192
2493,US-CA-XSD-SDC-1058,SDC-1058,{ED90FAD9-672C-45F8-94CE-44DF076004AB},20840.727609567860782,11614808.343555103987455
2494,US-CA-XSD-SDC-2451,SDC-2451,{D41EF597-D5D5-43A8-A82D-FA535302D855},8454.629857141380853,3559266.781537800095975
2495,US-CA-XSD-SDC-0691,SDC-0691,{D3B7FFDF-408D-4449-9091-A96416D212E8},8072.356462109988570,3128796.668552211020142
2496,US-CA-XSD-SDC-1382,SDC-1382,{EC2B9674-6CB2-4FA5-9792-8B21FB85D627},52114.058729647360451,83555588.883580774068832
2497,US-CA-XSD-SDC-2342,SDC-2342,{8ADFB323-4CB0-404E-B809-D987AD541E25},8944.349771177730872,5137722.448109415359795
2498,US-CA-XSD-SDC-1068,SDC-1068,{56208140-3D1B-4DDA-8B4D-2699FC7C2670},38986.552075511957810,27591869.186570078134537
2499,US-CA-XSD-SDC-2353,SDC-2353,{B07EF80F-78A3-4D76-8741-275881F870A9},6544.443059174535847,2152088.851290910504758
2500,US-CA-XSD-SDC-1603,SDC-1603,{02517462-DE08-4EA5-B442-533E88BFDA24},9153.400891991223034,3018935.549215548671782
2501,US-CA-XSD-SDC-0161,SDC-0161,{2D4B5568-D60C-48F3-8418-5BB95B328090},43228.314399017042888,83010592.087606608867645
2502,US-CA-XSD-SDC-1956,SDC-1956,{13FB1968-CF4A-48A4-967E-6F178E138DCA},30293.107776812859811,52232797.411879695951939
2503,US-CA-XSD-SDC-1541,SDC-1541,{9AA63DAB-9DC8-43AE-878B-1B3EA290C6C2},13813.608066898465040,5820886.719045603647828
2504,US-CA-XSD-SDC-2152,SDC-2152,{58DAA226-B043-4202-A66C-A56C0DE1C868},23968.130947178331553,25143702.092077914625406
2505,US-CA-XSD-SDC-1935,SDC-1935,{CD97C116-B0E9-449B-B827-B91048FC5377},22658.115932822212926,23650043.637235529720783
2506,US-CA-XSD-SDC-2106,SDC-2106,{D308731E-DDE5-453A-AA90-3ADE1F5DB46B},28020.004332430253271,42083246.862016290426254
2507,US-CA-XSD-SDC-1630,SDC-1630,{699D9563-C7BD-4464-95DF-163C54B1899B},31135.964036606423178,53768333.415544554591179
2508,US-CA-XSD-SDC-0697,SDC-0697,{03BAF867-ECF0-4F8E-BC78-38B71C51205E},17156.788828902765090,16026253.482549058273435
2509,US-CA-XSD-SDC-1796,SDC-1796,{B09889FB-CF8A-4C80-B1E4-A990E5657EB4},56692.514263586417655,57921171.538744360208511
2510,US-CA-XSD-SDC-0342,SDC-0342,{89C9E047-317B-4328-87FB-769678470BF5},16313.414551195628519,10760175.148958835750818
2511,US-CA-XSD-SDC-0410,SDC-0410,{875B5DFD-42F6-4D27-82FF-5374E330EF9E},25350.097880571891437,36558128.752852514386177
2512,US-CA-XSD-SDC-1721,SDC-1721,{7C34F123-08D0-4C1E-B303-ADBC365DD3BF},84445.931202018531621,274628304.838626265525818
2513,US-CA-XSD-SDC-0169,SDC-0169,{C3D1A822-28F1-4E8E-85CD-3EC13ADFB5F5},21506.831679433351383,21427601.990665897727013
2514,US-CA-XSD-SDC-0214,SDC-0214,{3DB16A54-7216-40E6-B8CC-B8727D609132},36231.500040518119931,26605135.799410216510296
2515,US-CA-XSD-SDC-2503,SDC-2503,{92F812E4-4D8C-4521-96F6-870B11BAF747},2059.379396611518587,201079.804865377664100
2516,US-CA-XSD-SDC-2586,SDC-2586,{B76C51EA-6470-4843-A468-9590C0C6D325},11099.675845543770265,5874098.803696201182902
