incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_extinguished,incident_is_final,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_type,incident_url,incident_date_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
7be84564-edf7-4724-99ba-5c1ee7f86e30,Panther Ridge Fire,-122.13372,37.18381,Santa Cruz,2021-02-19T11:21:26Z,2021-01-22,Y,2021-01-19T15:25:39Z,CAL FIRE San Mateo-Santa Cruz Unit,,"Stapp Rd and Hwy 9, north of Boulder Creek",20,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/1/19/panther-ridge-fire/,2021-01-22T18:02:12Z,2021-01-19,N,TRUE,FALSE
1ebddf4e-0190-4363-a858-ac789206b5fd,Freedom Fire,-121.83627,36.98767,Santa Cruz,2021-03-02T20:32:36Z,2021-01-22,Y,2021-01-19T19:13:18Z,CAL FIRE San Mateo Santa Cruz Unit,,"Freedom Boulevard and Hames Road, East of Aptos.",37,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/1/19/freedom-fire/,2021-01-22T18:09:27Z,2021-01-19,N,TRUE,FALSE
21a360ea-3a4e-4267-986e-3bb1416ca05b,Grapevine Fire,-117.5910734,35.58198161,Kern,2021-03-24T10:03:09Z,2021-03-20,Y,2021-03-14T18:35:00Z,Bureau of Land Management,,"Grapevine Canyon & West of Hwy 395, Northwest of Ridgecrest",86,100,,Bureau of Land Management,Wildfire,https://www.fire.ca.gov/incidents/2021/3/14/grapevine-fire/,2021-03-20T09:54:54Z,2021-03-14,N,FALSE,FALSE
0c3c5916-b391-4916-ad16-059c094da426,Line Fire,-120.131236,37.813464,Tuolumne,2021-03-31T19:09:07Z,,Y,2021-03-28T14:43:24Z,CAL FIRE Tuolumne-Calaveras Unit,,"Shortline Rd and Hells Hollow Rd, East of Groveland",23,100,,,Fire,https://www.fire.ca.gov/incidents/2021/3/28/line-fire/,,2021-03-28,N,TRUE,FALSE
da35c08b-9f0a-42b2-9e1f-b6e9a545d3fb,Woodman Fire,-122.0536419,40.6758842,Shasta,2021-04-01T21:19:22Z,2021-04-01,Y,2021-04-01T15:56:00Z,CAL FIRE Shasta-Trinity Unit,,"Oak Run Road and Snider Ranch Road, South West of Oak Run in Shasta County.",35,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/4/1/woodman-fire/,2021-04-01T21:19:17Z,2021-04-01,N,TRUE,FALSE
1f31ac02-436e-4555-b7d1-32b636c11c17,Westwood Fire,-118.700095,34.30277328,Ventura,2021-04-05T17:25:05Z,2021-04-05,Y,2021-04-04T15:52:00Z,Ventura County Fire Department,,Westwood Street and Cottonwood Drive in Simi Valley,25,100,,,Fire,https://www.fire.ca.gov/incidents/2021/4/4/westwood-fire/,2021-04-05T17:24:38Z,2021-04-04,N,TRUE,FALSE
02ba1be4-fecc-49a6-927d-8da38d215851,Paso Fire,-116.582369,32.958961,San Diego,2021-04-13T18:48:26Z,2021-04-13,Y,2021-04-12T18:44:23Z,CAL FIRE San Diego Unit,,"Lookout Road and Hwy 79, North of Cuyamaca Rancho State Park",28,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/4/12/paso-fire/,2021-04-13T18:00:00Z,2021-04-12,N,FALSE,FALSE
6a7cee19-fc90-4f87-a306-48ccd9cee200,Turnout Fire,-123.35838,38.99914,Mendocino,2021-04-25T02:09:40Z,2021-04-24,Y,2021-04-18T17:46:54Z,CAL FIRE Mendocino Unit,,Highway 253 and Boonville Rd,200,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/4/18/turnout-fire/,2021-04-24T19:04:15Z,2021-04-18,N,TRUE,FALSE
81d9dc1d-9cff-4a22-a6c6-2a4f94cf30ed,River Fire,-121.5896697,38.9743823,Sutter,2021-05-06T16:35:39Z,2021-05-01,Y,2021-04-19T20:29:35Z,Sutter County Fire Department,,"Garden Hwy and Star Bend Road, South of Yuba City",80,100,,Sutter County Fire Department,Wildfire,https://www.fire.ca.gov/incidents/2021/4/19/river-fire/,2021-05-01T09:35:18Z,2021-04-19,N,FALSE,FALSE
3093980c-b80f-4b7b-a040-d4fc868142ca,Wolves Fire,-1191414610,34.9471195,Kern,2021-04-23T01:08:52Z,,Y,2021-04-23T00:34:19Z,Kern County Fire Department,,"Dead end of Goldcrest St, south west of Bakersfield",50,100,,Kern County Fire Department,Wildfire,https://www.fire.ca.gov/incidents/2021/4/23/wolves-fire/,,2021-04-23,N,FALSE,FALSE
92aa05b8-83d8-45ec-b079-86d7698086a5,Luis Fire,-121.143154,37.0953436,Merced,2021-04-25T02:01:24Z,2021-04-24,Y,2021-04-24T14:50:00Z,CAL FIRE MMU,,San Luis Reservoir near Santa Nella,93,100,,,Fire,https://www.fire.ca.gov/incidents/2021/4/24/luis-fire/,2021-04-24T19:01:18Z,2021-04-24,N,TRUE,FALSE
4f4775e4-cd91-4f78-a1de-9c15213ebed2,North Fire,-118.616276,34.449686,Los Angeles,2021-05-10T16:58:15Z,2021-05-03,Y,2021-04-28T23:04:57Z,Los Angeles County Fire Department,,"West Live Oak Rd and Biscailuz Rd , Castaic",650,100,,Los Angeles County Fire Department,Wildfire,https://www.fire.ca.gov/incidents/2021/4/28/north-fire/,2021-05-03T09:57:29Z,2021-04-28,N,FALSE,FALSE
5f8ebcac-e1f0-4659-9f38-f3e862a3a440,Sky Fire,-122.5177156,38.88437128,Lake,2021-05-02T00:34:13Z,2021-05-01,Y,2021-04-29T12:44:00Z,CAL FIRE Sonoma-Lake Napa Unit,,"Morgan Valley Road and Sloan Ranch Road, Southeast of Clearlake",65,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/4/29/sky-fire/,2021-05-01T17:32:27Z,2021-04-29,N,TRUE,FALSE
4567cb5b-ef86-4630-81ef-f442fc07dc3e,Campo Fire,-120.856628,38.223179,Calaveras,2021-05-04T01:29:32Z,,Y,2021-04-29T23:18:41Z,CAL FIRE Tuolumne-Calaveras Unit,,"Buckboard Lane and Campo Seco Rd, Campo Seco, Valley Springs",160,100,,,Wildfire,https://www.fire.ca.gov/incidents/2021/4/29/campo-fire/,,2021-04-29,N,TRUE,FALSE
